Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
"younger, son of father's brother",Mandarin,English,堂弟,cousin,堂弟: 更年幼的男性堂亲,cousin: a younger male cousin
"younger, son of mother's sibling",Mandarin,English,表弟,cousin,表弟: 更年轻的男性表亲,cousin: a younger male cousin
maternal aunt,Mandarin,English,姨妈,aunt,姨妈: 妈妈的姐妹,aunt: mother’s sister
paternal aunt,Mandarin,English,姑姑,aunt,姑姑: 爸爸的姐妹,aunt: dad’s sister
maternal uncle,Mandarin,English,舅舅,uncle,舅舅: 妈妈的兄弟,uncle: mom’s brother
paternal grandparent,Mandarin,English,祖父母,grandparents,祖父母: 爸爸的父母,grandparents: dad’s parents
maternal grandparent,Mandarin,English,外祖父母,grandparents,外祖父母: 妈妈的父母,grandparents: mom’s parents
father's younger brother,Mandarin,English,叔叔,uncle,叔叔: 爸爸的弟弟,uncle: dad’s younger brother
father's elder brother,Mandarin,English,伯伯,uncle,伯伯: 爸爸的哥哥,uncle: dad’s brother
cousin,English,English,cousin,cousin,cousin: child of your aunt or uncle,cousin: child of your aunt or uncle
grandson,English,English,grandson,grandson,grandson: male grandchild,grandson: male grandchild
granddaughter,English,English,granddaughter,granddaughter,granddaughter: female grandchild,granddaughter: female grandchild
grandparent,English,English,grandparent,grandparent,grandparent: parent of your father or mother,grandparent: parent of your father or mother
grandfather,English,English,grandfather,grandfather,grandfather: father of your father or mother,grandfather: father of your father or mother
grandmother,English,English,grandmother,grandmother,grandmother: mother of your father or mother,grandmother: mother of your father or mother
nephew,English,English,nephew,nephew,nephew: son of your brother or sister,nephew: son of your brother or sister
niece,English,English,niece,niece,niece: daughter of your brother or sister,niece: daughter of your brother or sister
uncle,English,English,uncle,uncle,uncle: brother of your father or mother,uncle: brother of your father or mother
aunt,English,English,aunt,aunt,aunt: sister of your father or mother,aunt: sister of your father or mother
brother,English,English,brother,brother,brother: males with the same parents as you,brother: males with the same parents as you
sister,English,English,sister,sister,sister: females with the same parents as you,sister: females with the same parents as you
paternal uncle,Polish,English,stryjek,uncle,stryjek: wujka ze strony ojca,uncle: an uncle on the father's side
female cousin,Spanish,English,prima,cousin,prima: hija de tía o tío,cousin: daughter of aunt or uncle
male cousin,Spanish,English,primo,cousin,primo: hijo de tía o tío,cousin: son of aunt or uncle
son of father's brother,Persian,English,پسرعمو‎,cousin,پسرعمو‎: پسر برادر پدر‎,cousin: father's brother's son
daughter of father's brother,Persian,English,دخترعمو‎,cousin,دخترعمو‎: دختر برادر پدر‎,cousin: father's brother's daughter
son of father's sister,Persian,English,پسرعمه‎,cousin,پسرعمه‎: پسر خواهر پدر‎,cousin: father's sister's son
daughter of father's sister,Persian,English,دخترعمه‎,cousin,دخترعمه‎: دختر خواهر پدر‎,cousin: father's sister's daughter
son of mother's brother,Persian,English,پسردائی‎,cousin,پسردائی‎: پسر برادر مادر‎,cousin: mother's brother's son
daughter of mother's brother,Persian,English,دختردائی‎,daughter-in-law,دختردائی‎: دختر برادر مادر‎,daughter-in-law: mother's brother's daughter
son of mother's sister,Persian,English,پسرخاله‎,cousin,پسرخاله‎: پسر خواهر مادر‎,cousin: mother's sister's son
daughter of mother's sister,Persian,English,دخترخاله‎,aunt,دخترخاله‎: دختر خواهر مادر‎,aunt: mother's sister's daughter
child of father's brother,Turkish,English,amcaçocuğu,cousin,amcaçocuğu: babanın erkek kardeşinin çocuğu,cousin: father's brother's child
child of father's sister,Turkish,English,halaçocuğu,aunt's child,halaçocuğu: babanın kız kardeşinin çocuğu,aunt's child: father's sister's child
child of mother's brother,Turkish,English,dayıçocuğu,maternal uncle's child,dayıçocuğu: annenin erkek kardeşinin çocuğu,maternal uncle's child: mother's brother's child
child of mother's sister,Turkish,English,teyzeçocuğu,aunt's child,teyzeçocuğu: annenin kız kardeşinin çocuğu,aunt's child: mother's sister's child
nibling,Turkish,English,yeğen,nephew,yeğen: erkek veya kız kardeşinizin çocuğu,nephew: your brother or sister's child
elder male cousin,Japanese,English,従兄,cousin,従兄: 年上の男性のいとこ,cousin: older male cousin
younger male cousin,Japanese,English,従弟,cousin,従弟: 年下の男性のいとこ,cousin: a younger male cousin
elder female cousin,Japanese,English,従姉,cousin,従姉: 年上の女性のいとこ,cousin: older female cousin
younger female cousin,Japanese,English,従妹,cousin,従妹: 年下の女性のいとこ,cousin: a younger female cousin
son of parent's brother,Estonian,English,onupoeg,cousin,onupoeg: lapsevanema venna poeg,cousin: the son of a parent's brother
daughter of parent's brother,Estonian,English,onutütar,cousin,onutütar: lapsevanema venna tütar,cousin: the daughter of a parent's brother
son of parent's sister,Estonian,English,tädipoeg,cousin,tädipoeg: lapsevanema õe poeg,cousin: the son of a parent's sister
daughter of parent's sister,Estonian,English,täditütar,niece,täditütar: lapsevanema õe tütar,niece: the daughter of a parent's sister
younger sibling,Korean,English,동생,younger brother,동생: 남동생이나여동생,younger brother: younger brother or younger sister
elder sibling,Hungarian,English,nagytestvér,big brother,nagytestvér: idősebb testvér vagy idősebb nővér,big brother: older brother or older sister
