Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
uncle,English,Persian,uncle,عمو,uncle: brother of your father or mother,عمو: برادر پدر یا مادرت
aunt,English,Persian,aunt,عمه,aunt: sister of your father or mother,عمه: خواهر پدر یا مادرت
brother,English,Persian,brother,برادر,brother: males with the same parents as you,برادر: مردانی با والدین مشابه شما
sister,English,Persian,sister,خواهر,sister: females with the same parents as you,خواهر: زنان با پدر و مادری مشابه شما
paternal uncle,Polish,Persian,stryjek,عمو,stryjek: wujka ze strony ojca,عمو: دایی از طرف پدر
female cousin,Spanish,Persian,prima,پسر عمو,prima: hija de tía o tío,پسر عمو: دختر خاله یا عمو
male cousin,Spanish,Persian,primo,پسر عمو,primo: hijo de tía o tío,پسر عمو: پسر خاله یا عمو
son of father's brother,Persian,Persian,پسرعمو‎,پسرعمو‎,پسرعمو‎: پسر برادر پدر‎,پسرعمو‎: پسر برادر پدر‎
daughter of father's brother,Persian,Persian,دخترعمو‎,دخترعمو‎,دخترعمو‎: دختر برادر پدر‎,دخترعمو‎: دختر برادر پدر‎
son of father's sister,Persian,Persian,پسرعمه‎,پسرعمه‎,پسرعمه‎: پسر خواهر پدر‎,پسرعمه‎: پسر خواهر پدر‎
daughter of father's sister,Persian,Persian,دخترعمه‎,دخترعمه‎,دخترعمه‎: دختر خواهر پدر‎,دخترعمه‎: دختر خواهر پدر‎
son of mother's brother,Persian,Persian,پسردائی‎,پسر دایی‎,پسردائی‎: پسر برادر مادر‎,پسر دایی‎: پسر برادر مادر‎
daughter of mother's brother,Persian,Persian,دختردائی‎,دختردائی‎,دختردائی‎: دختر برادر مادر‎,دختردائی‎: دختر برادر مادر‎
son of mother's sister,Persian,Persian,پسرخاله‎,پسرخاله‎,پسرخاله‎: پسر خواهر مادر‎,پسرخاله‎: پسر خواهر مادر‎
daughter of mother's sister,Persian,Persian,دخترخاله‎,دخترخاله‎,دخترخاله‎: دختر خواهر مادر‎,دخترخاله‎: دختر خواهر مادر‎
child of father's brother,Turkish,Persian,amcaçocuğu,پسر عمو,amcaçocuğu: babanın erkek kardeşinin çocuğu,پسر عمو: فرزند برادر پدر
child of father's sister,Turkish,Persian,halaçocuğu,فرزند خاله,halaçocuğu: babanın kız kardeşinin çocuğu,فرزند خاله: فرزند خواهر پدر
child of mother's brother,Turkish,Persian,dayıçocuğu,فرزند عموی مادر,dayıçocuğu: annenin erkek kardeşinin çocuğu,فرزند عموی مادر: فرزند برادر مادر
child of mother's sister,Turkish,Persian,teyzeçocuğu,فرزند خاله,teyzeçocuğu: annenin kız kardeşinin çocuğu,فرزند خاله: فرزند خواهر مادر
nibling,Turkish,Persian,yeğen,برادرزاده,yeğen: erkek veya kız kardeşinizin çocuğu,برادرزاده: فرزند برادر یا خواهر شما
elder male cousin,Japanese,Persian,従兄,پسر عمو,従兄: 年上の男性のいとこ,پسر عمو: پسر عموی بزرگتر
younger male cousin,Japanese,Persian,従弟,پسر عمو,従弟: 年下の男性のいとこ,پسر عمو: پسر عموی کوچکتر
elder female cousin,Japanese,Persian,従姉,پسر عمو,従姉: 年上の女性のいとこ,پسر عمو: دختر عموی بزرگتر
younger female cousin,Japanese,Persian,従妹,پسر عمو,従妹: 年下の女性のいとこ,پسر عمو: دختر عموی کوچکتر
son of parent's brother,Estonian,Persian,onupoeg,پسر عمو,onupoeg: lapsevanema venna poeg,پسر عمو: پسر برادر پدر و مادر
daughter of parent's brother,Estonian,Persian,onutütar,پسر عمو,onutütar: lapsevanema venna tütar,پسر عمو: دختر برادر پدر و مادر
son of parent's sister,Estonian,Persian,tädipoeg,پسر عمو,tädipoeg: lapsevanema õe poeg,پسر عمو: پسر خواهر پدر و مادر
daughter of parent's sister,Estonian,Persian,täditütar,خواهرزاده,täditütar: lapsevanema õe tütar,خواهرزاده: دختر خواهر پدر و مادر
younger sibling,Korean,Persian,동생,برادر کوچکتر,동생: 남동생이나여동생,برادر کوچکتر: برادر کوچکتر یا خواهر کوچکتر
elder sibling,Hungarian,Persian,nagytestvér,برادر بزرگ,nagytestvér: idősebb testvér vagy idősebb nővér,برادر بزرگ: برادر بزرگتر یا خواهر بزرگتر
