Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
paternal uncle,Polish,Polish,stryjek,stryjek,stryjek: wujka ze strony ojca,stryjek: wujka ze strony ojca
female cousin,Spanish,Polish,prima,kuzynka,prima: hija de tía o tío,kuzynka: córka ciotki lub wujka
male cousin,Spanish,Polish,primo,kuzyn,primo: hijo de tía o tío,kuzyn: syn ciotki lub wujka
son of father's brother,Persian,Polish,پسرعمو‎,kuzyn,پسرعمو‎: پسر برادر پدر‎,kuzyn: syn brata ojca
daughter of father's brother,Persian,Polish,دخترعمو‎,kuzyn,دخترعمو‎: دختر برادر پدر‎,kuzyn: córka brata ojca
son of father's sister,Persian,Polish,پسرعمه‎,kuzyn,پسرعمه‎: پسر خواهر پدر‎,kuzyn: syn siostry ojca
daughter of father's sister,Persian,Polish,دخترعمه‎,kuzyn,دخترعمه‎: دختر خواهر پدر‎,kuzyn: córka siostry ojca
son of mother's brother,Persian,Polish,پسردائی‎,kuzyn,پسردائی‎: پسر برادر مادر‎,kuzyn: syn brata matki
daughter of mother's brother,Persian,Polish,دختردائی‎,synowa,دختردائی‎: دختر برادر مادر‎,synowa: córka brata matki
son of mother's sister,Persian,Polish,پسرخاله‎,kuzyn,پسرخاله‎: پسر خواهر مادر‎,kuzyn: syn siostry matki
daughter of mother's sister,Persian,Polish,دخترخاله‎,ciotka,دخترخاله‎: دختر خواهر مادر‎,ciotka: córka siostry matki
child of father's brother,Turkish,Polish,amcaçocuğu,kuzyn,amcaçocuğu: babanın erkek kardeşinin çocuğu,kuzyn: dziecko brata ojca
child of father's sister,Turkish,Polish,halaçocuğu,dziecko ciotki,halaçocuğu: babanın kız kardeşinin çocuğu,dziecko ciotki: dziecko siostry ojca
child of mother's brother,Turkish,Polish,dayıçocuğu,dziecko wujka ze strony matki,dayıçocuğu: annenin erkek kardeşinin çocuğu,dziecko wujka ze strony matki: dziecko brata matki
child of mother's sister,Turkish,Polish,teyzeçocuğu,dziecko ciotki,teyzeçocuğu: annenin kız kardeşinin çocuğu,dziecko ciotki: dziecko siostry matki
nibling,Turkish,Polish,yeğen,siostrzeniec,yeğen: erkek veya kız kardeşinizin çocuğu,siostrzeniec: dziecko twojego brata lub siostry
elder male cousin,Japanese,Polish,従兄,kuzyn,従兄: 年上の男性のいとこ,kuzyn: starszy kuzyn
younger male cousin,Japanese,Polish,従弟,kuzyn,従弟: 年下の男性のいとこ,kuzyn: młodszy kuzyn płci męskiej
elder female cousin,Japanese,Polish,従姉,kuzynka,従姉: 年上の女性のいとこ,kuzynka: starsza kuzynka
younger female cousin,Japanese,Polish,従妹,kuzynka,従妹: 年下の女性のいとこ,kuzynka: młodsza kuzynka
son of parent's brother,Estonian,Polish,onupoeg,kuzyn,onupoeg: lapsevanema venna poeg,kuzyn: syn brata rodzica
daughter of parent's brother,Estonian,Polish,onutütar,kuzynka,onutütar: lapsevanema venna tütar,kuzynka: córka brata rodzica
son of parent's sister,Estonian,Polish,tädipoeg,kuzyn,tädipoeg: lapsevanema õe poeg,kuzyn: syn siostry rodziców
daughter of parent's sister,Estonian,Polish,täditütar,siostrzenica,täditütar: lapsevanema õe tütar,siostrzenica: córka siostry rodzica
younger sibling,Korean,Polish,동생,młodszy brat,동생: 남동생이나여동생,młodszy brat: młodszy brat lub młodsza siostra
elder sibling,Hungarian,Polish,nagytestvér,starszy brat,nagytestvér: idősebb testvér vagy idősebb nővér,starszy brat: starszy brat lub starsza siostra
