Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
maternal uncle,Mandarin,Mongolian,舅舅,авга ах,舅舅: 妈妈的兄弟,авга ах: ээжийн дүү
paternal grandparent,Mandarin,Mongolian,祖父母,өвөө эмээ,祖父母: 爸爸的父母,өвөө эмээ: аавын эцэг эх
maternal grandparent,Mandarin,Mongolian,外祖父母,өвөө эмээ,外祖父母: 妈妈的父母,өвөө эмээ: ээжийн эцэг эх
father's younger brother,Mandarin,Mongolian,叔叔,авга ах,叔叔: 爸爸的弟弟,авга ах: аавын дүү
father's elder brother,Mandarin,Mongolian,伯伯,авга ах,伯伯: 爸爸的哥哥,авга ах: аавын ах
cousin,English,Mongolian,cousin,үеэл,cousin: child of your aunt or uncle,үеэл: нагац эгчийнхээ хүүхэд
grandson,English,Mongolian,grandson,ач хүү,grandson: male grandchild,ач хүү: эрэгтэй ач
granddaughter,English,Mongolian,granddaughter,ач охин,granddaughter: female grandchild,ач охин: эмэгтэй ач
grandparent,English,Mongolian,grandparent,эмээ өвөө,grandparent: parent of your father or mother,"эмээ өвөө: аав, ээжийн чинь эцэг эх"
grandfather,English,Mongolian,grandfather,өвөө,grandfather: father of your father or mother,өвөө: аав эсвэл ээжийн чинь аав
grandmother,English,Mongolian,grandmother,эмээ,grandmother: mother of your father or mother,эмээ: аав эсвэл ээжийн чинь ээж
nephew,English,Mongolian,nephew,ач хүү,nephew: son of your brother or sister,"ач хүү: ах, эгчийнхээ хүү"
niece,English,Mongolian,niece,зээ,niece: daughter of your brother or sister,"зээ: ах, эгчийнхээ охин"
uncle,English,Mongolian,uncle,авга ах,uncle: brother of your father or mother,авга ах: чиний аав эсвэл ээжийн ах
aunt,English,Mongolian,aunt,нагац эгч,aunt: sister of your father or mother,нагац эгч: аав эсвэл ээжийн эгч
brother,English,Mongolian,brother,ах,brother: males with the same parents as you,ах: чамтай ижил эцэг эхтэй эрчүүд
sister,English,Mongolian,sister,эгч,sister: females with the same parents as you,эгч: чамтай ижил эцэг эхтэй эмэгтэйчүүд
paternal uncle,Polish,Mongolian,stryjek,авга ах,stryjek: wujka ze strony ojca,авга ах: аавын талын авга ах
female cousin,Spanish,Mongolian,prima,үеэл,prima: hija de tía o tío,үеэл: авга эгч эсвэл авга ахын охин
male cousin,Spanish,Mongolian,primo,үеэл,primo: hijo de tía o tío,үеэл: авга эгч эсвэл авга ахын хүү
son of father's brother,Persian,Mongolian,پسرعمو‎,үеэл,پسرعمو‎: پسر برادر پدر‎,үеэл: аавын ахын хүү
daughter of father's brother,Persian,Mongolian,دخترعمو‎,үеэл,دخترعمو‎: دختر برادر پدر‎,үеэл: аавын ахын охин
son of father's sister,Persian,Mongolian,پسرعمه‎,үеэл,پسرعمه‎: پسر خواهر پدر‎,үеэл: аавын эгчийн хүү
daughter of father's sister,Persian,Mongolian,دخترعمه‎,үеэл,دخترعمه‎: دختر خواهر پدر‎,үеэл: аавын эгчийн охин
son of mother's brother,Persian,Mongolian,پسردائی‎,үеэл,پسردائی‎: پسر برادر مادر‎,үеэл: ээжийн ахын хүү
daughter of mother's brother,Persian,Mongolian,دختردائی‎,бэр,دختردائی‎: دختر برادر مادر‎,бэр: ээжийн ахын охин
son of mother's sister,Persian,Mongolian,پسرخاله‎,үеэл,پسرخاله‎: پسر خواهر مادر‎,үеэл: ээжийн эгчийн хүү
daughter of mother's sister,Persian,Mongolian,دخترخاله‎,нагац эгч,دخترخاله‎: دختر خواهر مادر‎,нагац эгч: ээжийн эгчийн охин
child of father's brother,Turkish,Mongolian,amcaçocuğu,үеэл,amcaçocuğu: babanın erkek kardeşinin çocuğu,үеэл: аавын ахын хүүхэд
child of father's sister,Turkish,Mongolian,halaçocuğu,нагац эгчийн хүүхэд,halaçocuğu: babanın kız kardeşinin çocuğu,нагац эгчийн хүүхэд: аавын эгчийн хүүхэд
child of mother's brother,Turkish,Mongolian,dayıçocuğu,эхийн нагац ахын хүүхэд,dayıçocuğu: annenin erkek kardeşinin çocuğu,эхийн нагац ахын хүүхэд: эхийн ахын хүүхэд
child of mother's sister,Turkish,Mongolian,teyzeçocuğu,нагац эгчийн хүүхэд,teyzeçocuğu: annenin kız kardeşinin çocuğu,нагац эгчийн хүүхэд: эхийн эгчийн хүүхэд
nibling,Turkish,Mongolian,yeğen,зээ,yeğen: erkek veya kız kardeşinizin çocuğu,"зээ: ах, эгчийн чинь хүүхэд"
elder male cousin,Japanese,Mongolian,従兄,үеэл,従兄: 年上の男性のいとこ,үеэл: ахимаг насны эрэгтэй үеэл
younger male cousin,Japanese,Mongolian,従弟,үеэл,従弟: 年下の男性のいとこ,үеэл: бага эрэгтэй үеэл
elder female cousin,Japanese,Mongolian,従姉,үеэл,従姉: 年上の女性のいとこ,үеэл: ахимаг насны эмэгтэй үеэл
younger female cousin,Japanese,Mongolian,従妹,үеэл,従妹: 年下の女性のいとこ,үеэл: дүү эмэгтэй үеэл
son of parent's brother,Estonian,Mongolian,onupoeg,үеэл,onupoeg: lapsevanema venna poeg,үеэл: эцэг эхийн ахын хүү
daughter of parent's brother,Estonian,Mongolian,onutütar,үеэл,onutütar: lapsevanema venna tütar,үеэл: эцэг эхийн ахын охин
son of parent's sister,Estonian,Mongolian,tädipoeg,үеэл,tädipoeg: lapsevanema õe poeg,үеэл: эцэг эхийн эгчийн хүү
daughter of parent's sister,Estonian,Mongolian,täditütar,зээ,täditütar: lapsevanema õe tütar,зээ: эцэг эхийн эгчийн охин
younger sibling,Korean,Mongolian,동생,дүү,동생: 남동생이나여동생,дүү: дүү эсвэл дүү
elder sibling,Hungarian,Mongolian,nagytestvér,том ах,nagytestvér: idősebb testvér vagy idősebb nővér,том ах: ах эсвэл эгч
