Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
son of father's brother,Persian,Hindi,پسرعمو‎,चचेरा भाई,پسرعمو‎: پسر برادر پدر‎,चचेरा भाई: पिता के भाई का बेटा
daughter of father's brother,Persian,Hindi,دخترعمو‎,चचेरी बहन,دخترعمو‎: دختر برادر پدر‎,चचेरी बहन: पिता के भाई की बेटी
son of father's sister,Persian,Hindi,پسرعمه‎,चचेरा भाई,پسرعمه‎: پسر خواهر پدر‎,चचेरा भाई: पिता की बहन का बेटा
daughter of father's sister,Persian,Hindi,دخترعمه‎,चचेरी बहन,دخترعمه‎: دختر خواهر پدر‎,चचेरी बहन: पिता की बहन की बेटी
son of mother's brother,Persian,Hindi,پسردائی‎,चचेरा भाई,پسردائی‎: پسر برادر مادر‎,चचेरा भाई: माँ के भाई का बेटा
daughter of mother's brother,Persian,Hindi,دختردائی‎,बहू,دختردائی‎: دختر برادر مادر‎,बहू: माँ के भाई की बेटी
son of mother's sister,Persian,Hindi,پسرخاله‎,चचेरा भाई,پسرخاله‎: پسر خواهر مادر‎,चचेरा भाई: माँ की बहन का बेटा
daughter of mother's sister,Persian,Hindi,دخترخاله‎,मौसी,دخترخاله‎: دختر خواهر مادر‎,मौसी: माँ की बहन की बेटी
child of father's brother,Turkish,Hindi,amcaçocuğu,चचेरा भाई,amcaçocuğu: babanın erkek kardeşinin çocuğu,चचेरा भाई: पिता के भाई की संतान
child of father's sister,Turkish,Hindi,halaçocuğu,मौसी का बच्चा,halaçocuğu: babanın kız kardeşinin çocuğu,मौसी का बच्चा: पिता की बहन का बच्चा
child of mother's brother,Turkish,Hindi,dayıçocuğu,मामा की संतान,dayıçocuğu: annenin erkek kardeşinin çocuğu,मामा की संतान: माँ के भाई की संतान
child of mother's sister,Turkish,Hindi,teyzeçocuğu,मौसी का बच्चा,teyzeçocuğu: annenin kız kardeşinin çocuğu,मौसी का बच्चा: माँ की बहन का बच्चा
nibling,Turkish,Hindi,yeğen,भतीजा,yeğen: erkek veya kız kardeşinizin çocuğu,भतीजा: आपके भाई या बहन का बच्चा
elder male cousin,Japanese,Hindi,従兄,चचेरा भाई,従兄: 年上の男性のいとこ,चचेरा भाई: वृद्ध पुरुष चचेरा भाई
younger male cousin,Japanese,Hindi,従弟,चचेरा भाई,従弟: 年下の男性のいとこ,चचेरा भाई: एक छोटा पुरुष चचेरा भाई
elder female cousin,Japanese,Hindi,従姉,चचेरी बहन,従姉: 年上の女性のいとこ,चचेरी बहन: बड़ी उम्र की महिला चचेरी बहन
younger female cousin,Japanese,Hindi,従妹,चचेरी बहन,従妹: 年下の女性のいとこ,चचेरी बहन: एक छोटी महिला चचेरी बहन
son of parent's brother,Estonian,Hindi,onupoeg,चचेरा भाई,onupoeg: lapsevanema venna poeg,चचेरा भाई: माता-पिता के भाई का बेटा
daughter of parent's brother,Estonian,Hindi,onutütar,चचेरा भाई,onutütar: lapsevanema venna tütar,चचेरा भाई: माता-पिता के भाई की बेटी
son of parent's sister,Estonian,Hindi,tädipoeg,चचेरा भाई,tädipoeg: lapsevanema õe poeg,चचेरा भाई: माता-पिता की बहन का बेटा
daughter of parent's sister,Estonian,Hindi,täditütar,भतीजी,täditütar: lapsevanema õe tütar,भतीजी: माता-पिता की बहन की बेटी
younger sibling,Korean,Hindi,동생,छोटा भाई,동생: 남동생이나여동생,छोटा भाई: छोटा भाई या छोटी बहन
elder sibling,Hungarian,Hindi,nagytestvér,बड़ा भाई,nagytestvér: idősebb testvér vagy idősebb nővér,बड़ा भाई: बड़ा भाई या बड़ी बहन
